Order,PID,1st Flr SF,1st Flr SF (box-cox-0),2nd Flr SF,3Ssn Porch,Bedroom AbvGr,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Electrical,Enclosed Porch,Fence,Fireplace Qu,Fireplaces,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Gr Liv Area,Gr Liv Area (box-cox-0),Half Bath,Kitchen AbvGr,Kitchen Qual,Land Slope,Lot Area,Lot Area (box-cox-0.1),Lot Shape,Low Qual Fin SF,Mas Vnr Area,Misc Val,Mo Sold,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Screen Porch,TotRms AbvGrd,Total Bath,Total Bsmt SF,Total Porch SF,Total SF,Total SF (box-cox-0.2),Utilities,Wood Deck SF,abnormal_sale,air_cond,build_type_1Fam,build_type_2Fam,build_type_Twnhs,found_BrkTil,found_CBlock,found_PConc,has 2nd Flr,has Bsmt,has Fireplace,has Garage,has Pool,has Porch,major_street,new_home,nhood_Blmngtn,nhood_Blueste,nhood_BrDale,nhood_BrkSide,nhood_ClearCr,nhood_CollgCr,nhood_Crawfor,nhood_Edwards,nhood_Gilbert,nhood_Greens,nhood_GrnHill,nhood_IDOTRR,nhood_Landmrk,nhood_MeadowV,nhood_Mitchel,nhood_NPkVill,nhood_NWAmes,nhood_Names,nhood_NoRidge,nhood_NridgHt,nhood_OldTown,nhood_SWISU,nhood_Sawyer,nhood_SawyerW,nhood_Somerst,nhood_StoneBr,nhood_Timber,nhood_Veenker,park,partial_sale,railway,recently_built,recently_remodeled,remodeled,years_since_built,years_since_remodeled,SalePrice,SalePrice (box-cox-0)
11,527163010,763.0,6.637258031284457,892.0,0.0,3,TA,No,0,0,Gd,763.0,0.0,0.0,Unf,Unf,SBrkr,0.0,NA,TA,1,2,Typ,440.0,2,TA,Fin,TA,1655.0,7.411556287811163,1,1,TA,Gtl,10000.0,15.1188643150958,IR1,0.0,0.0,0.0,4,84.0,5,6,Y,0.0,NA,0.0,7,2.5,763.0,241.0,2418.0,18.74987146982224,AllPub,157.0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,175900.0,12.077670930725649
12,527165230,1187.0,7.079184394609668,0.0,0.0,3,TA,No,1,0,Gd,233.0,935.0,0.0,ALQ,Unf,SBrkr,0.0,GdPrv,NA,0,2,Typ,420.0,2,TA,Fin,TA,1187.0,7.079184394609668,0,1,TA,Gtl,7980.0,14.558412462443812,IR1,0.0,0.0,500.0,3,21.0,7,6,Y,0.0,NA,0.0,6,3.0,1168.0,504.0,2355.0,18.62480250396189,AllPub,483.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,3,185000.0,12.128111104060462
13,527166040,789.0,6.670766320845874,676.0,0.0,3,TA,No,0,0,Gd,789.0,0.0,0.0,Unf,Unf,SBrkr,0.0,NA,Gd,1,2,Typ,393.0,2,TA,Fin,TA,1465.0,7.289610521451167,1,1,TA,Gtl,8402.0,14.685291937796409,IR1,0.0,0.0,0.0,5,75.0,5,6,Y,0.0,NA,0.0,7,2.5,789.0,75.0,2254.0,18.41859234068575,AllPub,0.0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,180400.0,12.10293188661066
14,527180040,1341.0,7.201170883281678,0.0,0.0,2,TA,Gd,1,0,Gd,663.0,637.0,0.0,GLQ,Unf,SBrkr,0.0,NA,Po,1,1,Typ,506.0,2,TA,Unf,TA,1341.0,7.201170883281678,1,1,Gd,Gtl,10176.0,15.162727233149424,Reg,0.0,0.0,0.0,2,0.0,5,7,Y,0.0,NA,0.0,5,2.5,1300.0,192.0,2641.0,19.17261775705475,AllPub,192.0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,171500.0,12.052338545588132
15,527182190,1502.0,7.31455283232408,0.0,0.0,1,TA,Av,1,0,Gd,0.0,368.0,1120.0,GLQ,BLQ,SBrkr,0.0,NA,NA,0,1,Typ,528.0,2,TA,RFn,TA,1502.0,7.31455283232408,1,1,Gd,Gtl,6820.0,14.175665468060789,IR1,0.0,0.0,0.0,6,54.0,5,8,Y,0.0,NA,140.0,4,2.5,1488.0,194.0,2990.0,19.780167749026837,AllPub,0.0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,25,212000.0,12.26434155365415
17,527225035,1080.0,6.984716320118266,672.0,0.0,4,TA,Av,0,0,Gd,132.0,427.0,0.0,GLQ,Unf,SBrkr,0.0,NA,NA,0,2,Typ,492.0,2,TA,RFn,TA,1752.0,7.468513271496337,0,1,TA,Mod,12134.0,15.609458703357477,IR1,0.0,0.0,0.0,6,12.0,7,8,Y,0.0,NA,0.0,8,2.0,559.0,337.0,2311.0,18.53585573958732,AllPub,325.0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,5,164000.0,12.007621706806335
18,527258010,1856.0,7.526178913346146,0.0,0.0,1,TA,Av,1,0,Ex,411.0,1445.0,0.0,GLQ,Unf,SBrkr,0.0,NA,Ex,1,1,Typ,834.0,3,TA,Fin,TA,1856.0,7.526178913346146,1,1,Ex,Gtl,11394.0,15.448818333073188,Reg,0.0,350.0,0.0,6,0.0,2,9,Y,0.0,NA,0.0,8,2.5,1856.0,113.0,3712.0,20.875669644085733,AllPub,113.0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,394432.0,12.885202034321916
19,527276150,864.0,6.761572768804055,0.0,0.0,2,TA,No,0,0,TA,744.0,120.0,0.0,LwQ,Unf,SBrkr,0.0,NA,NA,0,1,Typ,400.0,2,TA,Unf,TA,864.0,6.761572768804055,0,1,TA,Gtl,19138.0,16.803385646415467,Reg,0.0,0.0,0.0,6,0.0,5,4,Y,0.0,NA,0.0,4,1.0,864.0,0.0,1728.0,17.206430349229205,AllPub,0.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,141000.0,11.856515169360305
20,527302110,2073.0,7.636752112435779,0.0,0.0,3,TA,No,1,0,Gd,589.0,790.0,163.0,ALQ,Rec,SBrkr,0.0,MnPrv,TA,2,2,Min1,500.0,2,TA,Unf,TA,2073.0,7.636752112435779,0,1,TA,Gtl,13175.0,15.8211191899996,Reg,0.0,119.0,0.0,2,0.0,6,6,Y,0.0,NA,0.0,7,3.0,1542.0,349.0,3615.0,20.73899969057154,AllPub,349.0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22,210000.0,12.254862809699606
21,527358140,1844.0,7.519692404116539,0.0,0.0,3,TA,No,0,0,Gd,1139.0,705.0,0.0,BLQ,Unf,SBrkr,0.0,MnPrv,TA,1,2,Typ,546.0,2,TA,RFn,TA,1844.0,7.519692404116539,0,1,TA,Gtl,11751.0,15.52745284513204,IR1,0.0,480.0,0.0,1,122.0,6,6,Y,0.0,NA,0.0,7,2.0,1844.0,122.0,3688.0,20.84212285495266,AllPub,0.0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,190000.0,12.154779351142624
22,527358200,1173.0,7.067319848653476,0.0,0.0,3,TA,Gd,1,0,Gd,0.0,885.0,168.0,GLQ,LwQ,SBrkr,0.0,MnPrv,TA,2,2,Typ,528.0,2,TA,RFn,TA,1173.0,7.067319848653476,0,1,Gd,Gtl,10625.0,15.271609016716168,Reg,0.0,81.0,0.0,1,120.0,6,7,Y,0.0,NA,0.0,6,3.0,1053.0,120.0,2226.0,18.36011822154893,AllPub,0.0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,170000.0,12.043553716032399
23,527368020,814.0,6.70196036600254,860.0,0.0,3,TA,No,1,0,Gd,281.0,533.0,0.0,GLQ,Unf,SBrkr,0.0,NA,NA,0,2,Typ,663.0,2,TA,RFn,TA,1674.0,7.422971251049421,1,1,Gd,Gtl,7500.0,14.406534966757283,Reg,0.0,0.0,0.0,1,96.0,5,7,Y,0.0,NA,0.0,7,3.5,814.0,96.0,2488.0,18.885815838686845,AllPub,0.0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,10,216000.0,12.283033686666302
24,527402200,1004.0,6.911747300251674,0.0,0.0,2,TA,No,1,0,TA,426.0,578.0,0.0,ALQ,Unf,SBrkr,0.0,NA,TA,1,1,Typ,480.0,2,TA,Fin,TA,1004.0,6.911747300251674,0,1,TA,Gtl,11241.0,15.414437085367219,IR1,0.0,180.0,700.0,3,0.0,7,6,Y,0.0,NA,0.0,5,2.0,1004.0,0.0,2008.0,17.883515600966064,AllPub,0.0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,149000.0,11.911701584927597
25,527402250,1078.0,6.982862751468942,0.0,0.0,3,TA,No,1,0,TA,344.0,734.0,0.0,GLQ,Unf,SBrkr,0.0,NA,Fa,1,1,Typ,500.0,2,TA,Fin,TA,1078.0,6.982862751468942,1,1,TA,Gtl,12537.0,15.693268926074996,IR1,0.0,0.0,0.0,4,0.0,6,5,Y,0.0,NA,0.0,6,2.5,1078.0,0.0,2156.0,18.211315546508768,AllPub,0.0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39,2,149900.0,11.917723684090689
26,527403020,1056.0,6.962243464266207,0.0,0.0,3,TA,No,1,0,TA,281.0,775.0,0.0,BLQ,Unf,SBrkr,184.0,NA,Fa,1,1,Typ,304.0,1,TA,Unf,TA,1056.0,6.962243464266207,0,1,TA,Gtl,8450.0,14.699358336797127,Reg,0.0,0.0,0.0,7,85.0,6,5,Y,0.0,NA,0.0,6,2.0,1056.0,269.0,2112.0,18.115792487300293,AllPub,0.0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,142000.0,11.863582336583399
27,527404120,882.0,6.782192056006791,0.0,0.0,2,TA,No,1,0,TA,0.0,804.0,78.0,ALQ,Rec,SBrkr,0.0,MnPrv,NA,0,1,Typ,525.0,2,TA,Fin,TA,882.0,6.782192056006791,0,1,TA,Gtl,8400.0,14.68470426970406,Reg,0.0,0.0,0.0,4,0.0,5,4,Y,0.0,NA,0.0,4,2.0,882.0,240.0,1764.0,17.29819558558109,AllPub,240.0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,126000.0,11.744037185933616
28,527425090,864.0,6.761572768804055,0.0,0.0,3,TA,No,0,0,TA,432.0,432.0,0.0,ALQ,Unf,SBrkr,0.0,NA,Po,1,1,Typ,0.0,0,NA,NA,NA,864.0,6.761572768804055,0,1,TA,Gtl,10500.0,15.241719128077742,Reg,0.0,0.0,0.0,4,0.0,5,4,Y,0.0,NA,0.0,5,1.0,864.0,0.0,1728.0,17.206430349229205,AllPub,0.0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,115000.0,11.652687407345388
29,527427230,1337.0,7.198183577101943,0.0,0.0,2,TA,No,1,0,Gd,354.0,1051.0,0.0,GLQ,BLQ,SBrkr,0.0,NA,Fa,1,2,Typ,511.0,2,TA,Fin,TA,1337.0,7.198183577101943,0,1,Gd,Gtl,5858.0,13.810852061668069,IR1,0.0,0.0,0.0,6,68.0,5,7,Y,0.0,NA,0.0,5,3.0,1405.0,271.0,2742.0,19.354739821796844,AllPub,203.0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,184000.0,12.122691036591123
30,527451180,483.0,6.180016653652572,504.0,0.0,2,TA,No,0,0,TA,327.0,156.0,0.0,Rec,Unf,SBrkr,0.0,NA,NA,0,1,Typ,264.0,1,TA,Unf,TA,987.0,6.894670039433482,1,1,TA,Gtl,1680.0,11.015074220418333,Reg,0.0,504.0,0.0,2,0.0,5,6,Y,0.0,NA,0.0,5,1.5,483.0,275.0,1470.0,16.49975303640176,AllPub,275.0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,96000.0,11.472103470449973
31,527451330,525.0,6.263398262591624,567.0,0.0,3,TA,No,0,0,TA,225.0,300.0,0.0,Rec,Unf,SBrkr,0.0,NA,NA,0,1,Typ,320.0,1,TA,Unf,TA,1092.0,6.9957661563048505,1,1,TA,Gtl,1680.0,11.015074220418333,Reg,0.0,492.0,0.0,3,0.0,5,5,Y,0.0,NA,0.0,6,1.5,525.0,0.0,1617.0,16.91351312818413,AllPub,0.0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,105500.0,11.566466231898259
32,527451410,525.0,6.263398262591624,567.0,0.0,3,TA,No,0,0,TA,525.0,0.0,0.0,Unf,Unf,SBrkr,0.0,NA,NA,0,1,Typ,264.0,1,TA,Unf,TA,1092.0,6.9957661563048505,1,1,TA,Gtl,1680.0,11.015074220418333,Reg,0.0,381.0,0.0,3,0.0,5,6,Y,0.0,NA,0.0,6,1.5,525.0,0.0,1617.0,16.91351312818413,AllPub,0.0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,88000.0,11.385092093460344
33,527452190,1069.0,6.974478911025045,0.0,0.0,2,TA,No,0,0,Gd,709.0,360.0,0.0,ALQ,Unf,SBrkr,0.0,NA,Fa,1,2,Typ,440.0,2,TA,RFn,TA,1069.0,6.974478911025045,0,1,TA,Gtl,4043.0,12.94406551762425,Reg,0.0,0.0,0.0,7,55.0,5,6,Y,0.0,NA,165.0,4,2.0,1069.0,220.0,2138.0,18.172428164973155,AllPub,0.0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,127500.0,11.755871643580617
34,527453130,855.0,6.75110146893676,601.0,0.0,3,TA,No,0,0,TA,341.0,514.0,0.0,ALQ,Unf,SBrkr,0.0,NA,TA,1,2,Typ,440.0,2,TA,Unf,TA,1456.0,7.283448228756631,1,1,Gd,Gtl,2280.0,11.666735652606105,Reg,0.0,0.0,0.0,6,0.0,6,6,Y,0.0,NA,0.0,6,2.5,855.0,173.0,2311.0,18.53585573958732,AllPub,173.0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,149900.0,11.917723684090689
35,527453150,836.0,6.728628613084702,0.0,0.0,2,TA,No,0,0,Gd,836.0,0.0,0.0,Unf,Unf,SBrkr,0.0,NA,NA,0,1,Typ,308.0,1,TA,Unf,TA,836.0,6.728628613084702,0,1,TA,Gtl,2280.0,11.666735652606105,Reg,0.0,0.0,0.0,6,30.0,6,7,Y,0.0,NA,0.0,4,1.0,836.0,30.0,1672.0,17.060596892944208,AllPub,0.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,120000.0,11.695247021764184
36,527454200,855.0,6.75110146893676,601.0,0.0,3,TA,No,0,0,Gd,544.0,311.0,0.0,ALQ,Unf,SBrkr,0.0,NA,TA,1,2,Typ,440.0,2,TA,Unf,TA,1456.0,7.283448228756631,1,1,TA,Gtl,2280.0,11.666735652606105,Reg,0.0,0.0,0.0,7,0.0,5,6,Y,0.0,NA,0.0,7,2.5,855.0,26.0,2311.0,18.53585573958732,AllPub,26.0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,146000.0,11.891361900690473
37,528108120,1627.0,7.394493107219038,707.0,0.0,3,TA,No,0,0,Ex,1590.0,0.0,0.0,Unf,Unf,SBrkr,0.0,NA,Gd,1,2,Typ,751.0,3,TA,Fin,TA,2334.0,7.755338812846501,1,1,Ex,Gtl,12858.0,15.75830860828522,IR1,0.0,162.0,0.0,1,133.0,5,9,Y,0.0,NA,0.0,10,2.5,1590.0,277.0,3924.0,21.164702682173985,AllPub,144.0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,376162.0,12.837775180646194
