Order,PID,1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Mo Sold (box-cox-1.0),Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,Screen Porch,Street,TotRms AbvGrd,TotRms AbvGrd (box-cox-0.0),Total Bath,Total Bath (box-cox-0.5),Total Bsmt SF,Total Porch SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,SalePrice,SalePrice (box-cox-0.0)
13,527166040,789.0,676.0,0.0,NA,3,1Fam,3,1,0,0,4,789.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,0,4,1,PConc,2,7,393.0,2,3,3,3,Attchd,1465.0,1,GasA,3,2Story,1,2,Lvl,2,8402.0,Inside,2,0.0,060,RL,0.0,None,NA,0.0,5,4.0,Gilbert,75.0,4,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,789.0,75.0,3,0.0,1998,1998,2010,180400.0,12.10293188661066
14,527180040,1341.0,0.0,0.0,NA,2,1Fam,3,4,1,0,4,663.0,637.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,2,HdBoard,HdBoard,0,1,1,PConc,1,7,506.0,2,3,1,3,Attchd,1341.0,1,GasA,3,1Story,1,3,Lvl,2,10176.0,Inside,3,0.0,020,RL,0.0,None,NA,0.0,2,1.0,Gilbert,0.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,5,1.6094379124341003,2.5,1.1622776601683795,1300.0,192.0,3,192.0,1990,1990,2010,171500.0,12.052338545588132
15,527182190,1502.0,0.0,0.0,NA,1,TwnhsE,3,3,1,0,4,0.0,368.0,1120.0,6,4,Y,Norm,Norm,4,0.0,2,3,HdBoard,HdBoard,0,0,0,PConc,1,7,528.0,2,3,2,3,Attchd,1502.0,1,GasA,2,1Story,1,3,Lvl,2,6820.0,Corner,2,0.0,120,RL,0.0,None,NA,0.0,6,5.0,StoneBr,54.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,140.0,Pave,4,1.3862943611198906,2.5,1.1622776601683795,1488.0,194.0,3,0.0,1985,1985,2010,212000.0,12.26434155365415
16,527216070,1690.0,1589.0,0.0,NA,4,1Fam,3,4,1,0,4,234.0,1416.0,0.0,5,1,Y,Norm,Norm,4,0.0,2,4,CemntBd,WdShing,0,4,1,PConc,3,4,841.0,3,3,3,3,BuiltIn,3279.0,1,GasA,4,2Story,1,4,HLS,1,53504.0,CulDSac,1,0.0,060,RL,603.0,BrkFace,NA,0.0,6,5.0,StoneBr,36.0,4,7,2,0.0,0,CompShg,Hip,Normal,WD,210.0,Pave,12,2.4849066497880004,4.5,2.2426406871192848,1650.0,749.0,3,503.0,2003,2003,2010,538000.0,13.195613839143922
17,527225035,1080.0,672.0,0.0,NA,4,1Fam,3,3,0,0,4,132.0,427.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,Wd Sdng,Wd Sdng,0,0,0,Wood,2,7,492.0,2,3,2,3,Basment,1752.0,0,GasA,3,1.5Fin,1,2,Bnk,1,12134.0,Inside,2,0.0,050,RL,0.0,None,NA,0.0,6,5.0,Gilbert,12.0,6,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,8,2.0794415416798357,2.0,0.8284271247461903,559.0,337.0,3,325.0,1988,2005,2010,164000.0,12.007621706806335
18,527258010,1856.0,0.0,0.0,NA,1,1Fam,3,3,1,0,5,411.0,1445.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,5,1,PConc,1,7,834.0,3,3,3,3,Attchd,1856.0,1,GasA,4,1Story,1,4,Lvl,2,11394.0,Corner,3,0.0,020,RL,350.0,Stone,NA,0.0,6,5.0,StoneBr,0.0,1,8,2,0.0,0,CompShg,Hip,Partial,New,0.0,Pave,8,2.0794415416798357,2.5,1.1622776601683795,1856.0,113.0,3,113.0,2010,2010,2010,394432.0,12.885202034321916
19,527276150,864.0,0.0,0.0,NA,2,1Fam,3,1,0,0,3,744.0,120.0,0.0,2,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,0,0,0,CBlock,1,7,400.0,2,3,1,3,Detchd,864.0,0,GasA,4,1Story,1,2,Lvl,2,19138.0,Corner,3,0.0,020,RL,0.0,None,NA,0.0,6,5.0,Gilbert,0.0,4,3,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,4,1.3862943611198906,1.0,0.0,864.0,0.0,3,0.0,1951,1951,2010,141000.0,11.856515169360305
20,527302110,2073.0,0.0,0.0,NA,3,1Fam,3,1,1,0,4,589.0,790.0,163.0,5,3,Y,Norm,Norm,4,0.0,2,2,Plywood,Plywood,3,3,2,CBlock,2,6,500.0,2,3,1,3,Attchd,2073.0,0,GasA,2,1Story,1,2,Lvl,2,13175.0,Inside,3,0.0,020,RL,119.0,Stone,NA,0.0,2,1.0,NWAmes,0.0,5,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,3.0,1.4641016151377544,1542.0,349.0,3,349.0,1978,1988,2010,210000.0,12.254862809699606
21,527358140,1844.0,0.0,0.0,NA,3,1Fam,3,1,0,0,4,1139.0,705.0,0.0,4,1,Y,Norm,Norm,4,0.0,2,2,Plywood,Plywood,3,3,1,CBlock,2,7,546.0,2,3,2,3,Attchd,1844.0,0,GasA,4,1Story,1,2,Lvl,2,11751.0,Inside,2,0.0,020,RL,480.0,BrkFace,NA,0.0,1,0.0,NWAmes,122.0,5,5,2,0.0,0,CompShg,Hip,Normal,COD,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1844.0,122.0,3,0.0,1977,1977,2010,190000.0,12.154779351142624
22,527358200,1173.0,0.0,0.0,NA,3,1Fam,3,4,1,0,4,0.0,885.0,168.0,6,2,Y,Norm,Norm,4,0.0,2,2,Plywood,Plywood,3,3,2,CBlock,2,7,528.0,2,3,2,3,Attchd,1173.0,0,GasA,2,SFoyer,1,3,Lvl,2,10625.0,Inside,3,0.0,085,RL,81.0,BrkFace,NA,0.0,1,0.0,NWAmes,120.0,5,6,2,0.0,0,CompShg,Gable,Family,WD,0.0,Pave,6,1.791759469228055,3.0,1.4641016151377544,1053.0,120.0,3,0.0,1974,1974,2010,170000.0,12.043553716032399
23,527368020,814.0,860.0,0.0,NA,3,1Fam,3,1,1,0,4,281.0,533.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,0,0,PConc,2,7,663.0,2,3,2,3,Attchd,1674.0,1,GasA,4,2Story,1,3,Lvl,2,7500.0,Inside,3,0.0,060,FV,0.0,None,NA,0.0,1,0.0,Somerst,96.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,3.5,1.7416573867739413,814.0,96.0,3,0.0,2000,2000,2010,216000.0,12.283033686666302
24,527402200,1004.0,0.0,0.0,NA,2,1Fam,3,1,1,0,3,426.0,578.0,0.0,5,1,Y,Norm,Norm,4,0.0,2,2,Wd Sdng,Wd Sdng,0,3,1,CBlock,1,7,480.0,2,3,3,3,Attchd,1004.0,0,GasA,4,1Story,1,2,Lvl,2,11241.0,CulDSac,2,0.0,020,RL,180.0,BrkFace,Shed,700.0,3,2.0,Names,0.0,6,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,5,1.6094379124341003,2.0,0.8284271247461903,1004.0,0.0,3,0.0,1970,1970,2010,149000.0,11.911701584927597
25,527402250,1078.0,0.0,0.0,NA,3,1Fam,3,1,1,0,3,344.0,734.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,2,VinylSd,VinylSd,0,2,1,CBlock,1,7,500.0,2,3,3,3,Attchd,1078.0,1,GasA,4,1Story,1,2,Lvl,2,12537.0,CulDSac,2,0.0,020,RL,0.0,None,NA,0.0,4,3.0,Names,0.0,5,4,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,6,1.791759469228055,2.5,1.1622776601683795,1078.0,0.0,3,0.0,1971,2008,2010,149900.0,11.917723684090689
26,527403020,1056.0,0.0,0.0,NA,3,1Fam,3,1,1,0,3,281.0,775.0,0.0,4,1,Y,Norm,Norm,4,184.0,2,2,VinylSd,VinylSd,0,2,1,CBlock,1,7,304.0,1,3,1,3,Attchd,1056.0,0,GasA,4,1Story,1,2,Lvl,2,8450.0,Inside,3,0.0,020,RL,0.0,None,NA,0.0,7,6.0,Names,85.0,5,4,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,6,1.791759469228055,2.0,0.8284271247461903,1056.0,269.0,3,0.0,1968,1968,2010,142000.0,11.863582336583399
27,527404120,882.0,0.0,0.0,NA,2,1Fam,3,1,1,0,3,0.0,804.0,78.0,5,3,Y,Norm,Norm,4,0.0,2,2,Plywood,Plywood,3,0,0,CBlock,1,7,525.0,2,3,3,3,Attchd,882.0,0,GasA,2,1Story,1,2,Lvl,2,8400.0,Corner,3,0.0,020,RL,0.0,None,NA,0.0,4,3.0,Names,0.0,4,3,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,4,1.3862943611198906,2.0,0.8284271247461903,882.0,240.0,3,240.0,1970,1970,2010,126000.0,11.744037185933616
28,527425090,864.0,0.0,0.0,NA,3,1Fam,3,1,0,0,3,432.0,432.0,0.0,5,1,Y,Norm,Norm,4,0.0,2,2,HdBoard,HdBoard,0,1,1,CBlock,1,7,0.0,0,0,0,0,NA,864.0,0,GasA,2,1Story,1,2,Lvl,2,10500.0,FR2,3,0.0,020,RL,0.0,None,NA,0.0,4,3.0,Names,0.0,4,3,2,0.0,0,CompShg,Gable,Normal,ConLI,0.0,Pave,5,1.6094379124341003,1.0,0.0,864.0,0.0,3,0.0,1971,1971,2010,115000.0,11.652687407345388
29,527427230,1337.0,0.0,0.0,NA,2,TwnhsE,3,1,1,0,4,354.0,1051.0,0.0,6,4,Y,Norm,Norm,4,0.0,2,3,MetalSd,MetalSd,0,2,1,PConc,2,7,511.0,2,3,3,3,Attchd,1337.0,0,GasA,4,1Story,1,3,Lvl,2,5858.0,FR2,2,0.0,120,RH,0.0,None,NA,0.0,6,5.0,Names,68.0,4,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,5,1.6094379124341003,3.0,1.4641016151377544,1405.0,271.0,3,203.0,1999,1999,2010,184000.0,12.122691036591123
30,527451180,483.0,504.0,0.0,NA,2,TwnhsI,3,1,0,0,3,327.0,156.0,0.0,3,1,Y,Norm,Norm,4,0.0,2,2,HdBoard,HdBoard,0,0,0,CBlock,1,7,264.0,1,3,1,3,Detchd,987.0,1,GasA,2,2Story,1,2,Lvl,2,1680.0,Inside,3,0.0,160,RM,504.0,BrkFace,NA,0.0,2,1.0,BrDale,0.0,4,5,2,0.0,0,CompShg,Gable,Normal,COD,0.0,Pave,5,1.6094379124341003,1.5,0.4494897427831779,483.0,275.0,3,275.0,1971,1971,2010,96000.0,11.472103470449973
31,527451330,525.0,567.0,0.0,NA,3,TwnhsI,3,1,0,0,3,225.0,300.0,0.0,3,1,Y,Norm,Norm,4,0.0,2,2,HdBoard,HdBoard,0,0,0,CBlock,1,7,320.0,1,3,1,3,Detchd,1092.0,1,GasA,2,2Story,1,2,Lvl,2,1680.0,Inside,3,0.0,160,RM,492.0,BrkFace,NA,0.0,3,2.0,BrDale,0.0,4,4,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,6,1.791759469228055,1.5,0.4494897427831779,525.0,0.0,3,0.0,1971,1971,2010,105500.0,11.566466231898259
32,527451410,525.0,567.0,0.0,NA,3,TwnhsI,3,1,0,0,3,525.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,2,HdBoard,ImStucc,0,0,0,CBlock,1,7,264.0,1,3,1,3,Detchd,1092.0,1,GasA,2,2Story,1,2,Lvl,2,1680.0,Inside,3,0.0,160,RM,381.0,BrkFace,NA,0.0,3,2.0,BrDale,0.0,4,5,2,0.0,0,CompShg,Gable,Family,WD,0.0,Pave,6,1.791759469228055,1.5,0.4494897427831779,525.0,0.0,3,0.0,1971,1971,2010,88000.0,11.385092093460344
33,527452190,1069.0,0.0,0.0,NA,2,TwnhsE,3,1,0,0,4,709.0,360.0,0.0,5,1,Y,Norm,Norm,4,0.0,2,2,Plywood,Plywood,0,2,1,CBlock,2,7,440.0,2,3,2,3,Attchd,1069.0,0,GasA,2,1Story,1,2,Lvl,2,4043.0,Inside,3,0.0,120,RL,0.0,None,NA,0.0,7,6.0,NPkVill,55.0,4,5,2,0.0,0,CompShg,Gable,Normal,WD,165.0,Pave,4,1.3862943611198906,2.0,0.8284271247461903,1069.0,220.0,3,0.0,1977,1977,2010,127500.0,11.755871643580617
34,527453130,855.0,601.0,0.0,NA,3,TwnhsI,3,1,0,0,3,341.0,514.0,0.0,5,1,Y,Norm,Norm,4,0.0,2,2,Plywood,BrkComm,0,3,1,CBlock,2,7,440.0,2,3,1,3,Attchd,1456.0,1,GasA,2,2Story,1,3,Lvl,2,2280.0,FR2,3,0.0,160,RL,0.0,None,NA,0.0,6,5.0,NPkVill,0.0,5,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,6,1.791759469228055,2.5,1.1622776601683795,855.0,173.0,3,173.0,1975,1975,2010,149900.0,11.917723684090689
35,527453150,836.0,0.0,0.0,NA,2,TwnhsI,3,1,0,0,4,836.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,2,Plywood,BrkComm,0,0,0,CBlock,1,7,308.0,1,3,1,3,Attchd,836.0,0,GasA,4,1Story,1,2,Lvl,2,2280.0,FR2,3,0.0,120,RL,0.0,None,NA,0.0,6,5.0,NPkVill,30.0,5,6,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,4,1.3862943611198906,1.0,0.0,836.0,30.0,3,0.0,1975,1975,2010,120000.0,11.695247021764184
36,527454200,855.0,601.0,0.0,NA,3,TwnhsI,3,1,0,0,4,544.0,311.0,0.0,5,1,Y,Norm,Norm,4,0.0,2,2,Plywood,BrkComm,0,3,1,CBlock,2,7,440.0,2,3,1,3,Attchd,1456.0,1,GasA,1,2Story,1,2,Lvl,2,2280.0,Inside,3,0.0,160,RL,0.0,None,NA,0.0,7,6.0,NPkVill,0.0,4,5,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,2.5,1.1622776601683795,855.0,26.0,3,26.0,1978,1978,2010,146000.0,11.891361900690473
37,528108120,1627.0,707.0,0.0,NA,3,1Fam,3,1,0,0,5,1590.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,4,VinylSd,VinylSd,0,4,1,PConc,2,7,751.0,3,3,3,3,Attchd,2334.0,1,GasA,4,2Story,1,4,Lvl,2,12858.0,Inside,2,0.0,060,RL,162.0,Stone,NA,0.0,1,0.0,NridgHt,133.0,4,8,2,0.0,0,CompShg,Gable,Partial,New,0.0,Pave,10,2.302585092994046,2.5,1.1622776601683795,1590.0,277.0,3,144.0,2009,2010,2010,376162.0,12.837775180646194
38,528112020,1704.0,0.0,0.0,NA,3,1Fam,3,1,1,0,5,486.0,1218.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,772.0,3,3,2,3,Attchd,1704.0,0,GasA,4,1Story,1,3,Lvl,2,11478.0,Inside,3,0.0,020,RL,200.0,Stone,NA,0.0,5,4.0,NridgHt,50.0,4,7,2,0.0,0,CompShg,Gable,Normal,WD,0.0,Pave,7,1.9459101490553132,3.0,1.4641016151377544,1704.0,50.0,3,0.0,2007,2008,2010,306000.0,12.631340380934517
39,528120060,1940.0,0.0,0.0,NA,3,1Fam,3,3,1,0,5,284.0,1646.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,4,VinylSd,VinylSd,0,4,1,PConc,2,7,606.0,3,3,3,3,Attchd,1940.0,1,GasA,4,1Story,1,4,Lvl,2,10159.0,Inside,2,0.0,020,RL,450.0,Stone,NA,0.0,4,3.0,NridgHt,95.0,4,8,2,0.0,0,CompShg,Hip,Partial,New,0.0,Pave,8,2.0794415416798357,3.5,1.7416573867739413,1930.0,263.0,3,168.0,2009,2010,2010,395192.0,12.88712700173598
40,528120090,1544.0,0.0,0.0,NA,3,1Fam,3,1,0,0,4,1544.0,0.0,0.0,1,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,0,0,PConc,2,7,868.0,3,3,2,3,Attchd,1544.0,0,GasA,4,1Story,1,3,Lvl,2,12883.0,Corner,2,0.0,020,RL,256.0,Stone,NA,0.0,6,5.0,NridgHt,35.0,4,7,2,0.0,0,CompShg,Gable,Partial,New,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1544.0,35.0,3,0.0,2009,2010,2010,290941.0,12.58087577645635
41,528120100,1541.0,0.0,0.0,NA,3,1Fam,3,2,0,0,4,340.0,1201.0,0.0,4,1,Y,Norm,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,532.0,2,3,2,3,Attchd,1541.0,0,GasA,4,1Story,1,3,Lvl,2,12182.0,Corner,3,0.0,020,RL,226.0,BrkFace,NA,0.0,5,4.0,NridgHt,70.0,4,6,2,0.0,0,CompShg,Gable,Partial,New,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1541.0,70.0,3,0.0,2005,2005,2010,220000.0,12.301382825334498
42,528120120,1698.0,0.0,0.0,NA,3,1Fam,3,1,0,0,5,1588.0,110.0,0.0,6,1,Y,PosN,Norm,4,0.0,2,3,VinylSd,VinylSd,0,4,1,PConc,2,7,730.0,3,3,3,3,Attchd,1698.0,0,GasA,4,1Story,1,4,Lvl,2,11520.0,Inside,3,0.0,020,RL,615.0,BrkFace,NA,0.0,6,5.0,NridgHt,74.0,4,8,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,7,1.9459101490553132,2.0,0.8284271247461903,1698.0,266.0,3,192.0,2005,2005,2010,275000.0,12.524526376648708
43,528138020,1822.0,0.0,0.0,NA,3,1Fam,3,1,0,0,5,1794.0,28.0,0.0,6,1,Y,Norm,Norm,4,0.0,2,3,CemntBd,CemntBd,0,4,1,PConc,2,7,678.0,3,3,2,3,Attchd,1822.0,0,GasA,4,1Story,1,4,Lvl,2,14122.0,Inside,2,0.0,020,RL,240.0,BrkFace,NA,0.0,2,1.0,NridgHt,119.0,4,7,2,0.0,0,CompShg,Hip,Normal,WD,0.0,Pave,8,2.0794415416798357,2.0,0.8284271247461903,1822.0,119.0,3,0.0,2005,2006,2010,259000.0,12.464583340681674
